gene,function,category,functional_group
SAOUHSC_00722,para-aminobenzoate synthase glutamine amidotransferase component II,,Unknown/Hypothetical
SAOUHSC_00723,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00724,chorismate binding protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00725,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00726,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_00727,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00728,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A00703,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00729,ABC transporter ATP-binding protein,,Unknown/Hypothetical
SAOUHSC_00730,ATP-dependent DNA helicase RecQ,DNA metabolism,DNA metabolism
SAOUHSC_00731,ABC transporter,Transport and binding proteins,Transport
SAOUHSC_00732,amino acid ABC transporter permease,,Unknown/Hypothetical
SAOUHSC_00733,histidinol-phosphate aminotransferase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00734,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00735,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00736,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00737,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00738,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00739,7-cyano-7-deazaguanine reductase,,Unknown/Hypothetical
SAOUHSC_00740,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00741,ribonucleotide reductase stimulatory protein,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00742,ribonucleotide-diphosphate reductase subunit alpha,,Unknown/Hypothetical
SAOUHSC_00743,ribonucleotide-diphosphate reductase subunit beta,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00744,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00745,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00746,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00747,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00748,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00749,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00751,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00752,UDP-N-acetylenolpyruvoylglucosamine reductase,Cell envelope,Cell envelope
SAOUHSC_00753,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00754,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00755,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00756,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00757,peptidase T,Protein fate,Protein fate
SAOUHSC_00758,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00759,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00760,hypothetical protein,Regulatory functions; Signal transduction,Regulatory
SAOUHSC_00762,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_00763,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00764,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00765,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00766,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00767,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00769,preprotein translocase subunit SecA,Protein fate,Protein fate
SAOUHSC_00770,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00771,peptide chain release factor 2,Protein synthesis,Translation
SAOUHSC_00772,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00773,LysM domain-containing protein,Cellular processes,Cellular processes
SAOUHSC_00774,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_00775,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00776,excinuclease ABC subunit B,DNA metabolism,DNA metabolism
SAOUHSC_00778,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A00747,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00779,excinuclease ABC subunit B,DNA metabolism,DNA metabolism
SAOUHSC_00780,excinuclease ABC subunit A,DNA metabolism,DNA metabolism
SAOUHSC_00781,HPr kinase/phosphorylase,Regulatory functions; Signal transduction,Regulatory
SAOUHSC_00782,prolipoprotein diacylglyceryl transferase,Protein fate,Protein fate
SAOUHSC_00783,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00784,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00785,thioredoxin reductase,Energy metabolism,Energy metabolism
SAOUHSC_00786,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00787,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00788,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_00789,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00790,ATP-dependent Clp protease proteolytic subunit,Protein fate,Virulence
SAOUHSC_00792,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_00793,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00794,glycolytic operon regulator,DNA metabolism,DNA metabolism
SAOUHSC_00795,glyceraldehyde-3-phosphate dehydrogenase,Energy metabolism,Energy metabolism
SAOUHSC_00796,phosphoglycerate kinase,,Unknown/Hypothetical
SAOUHSC_00797,triosephosphate isomerase,Energy metabolism,Energy metabolism
SAOUHSC_00798,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",Energy metabolism,Energy metabolism
SAOUHSC_00799,phosphopyruvate hydratase,Energy metabolism,Energy metabolism
SAOUHSC_00800,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00801,preprotein translocase subunit SecG,Protein fate,Protein fate
SAOUHSC_00802,carboxylesterase,,Virulence
SAOUHSC_00803,ribonuclease R,Transcription,Transcription
SAOUHSC_00804,SsrA-binding protein,Protein synthesis,Translation
SAOUHSC_00805,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00806,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00807,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00808,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00809,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00810,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00811,hypothetical protein,Transcription,Transcription
SAOUHSC_00812,clumping factor,,Virulence
SAOUHSC_00813,truncated secreted von Willebrand factor-binding protein,,Unknown/Hypothetical
SAOUHSC_00814,truncated secreted von Willebrand factor-binding protein (coagulase) VWbp,,Virulence
SAOUHSC_00816,extracellular matrix and plasma binding protein,,Unknown/Hypothetical
SAOUHSC_00817,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00818,thermonuclease,Transport and binding proteins,Transport
SAOUHSC_00819,hypothetical protein,Cellular processes; DNA metabolism,Cellular processes
SAOUHSC_00820,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00821,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00822,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00823,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00824,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00825,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00826,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00827,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00828,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00830,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00831,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00832,3-dehydroquinase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00833,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00834,thioredoxin,Energy metabolism,Energy metabolism
SAOUHSC_00835,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_00836,glycine cleavage system protein H,Energy metabolism,Energy metabolism
SAOUHSC_00837,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00838,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00839,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00840,hypothetical protein,Transcription,Transcription
SAOUHSC_00841,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00842,ABC transporter ATP-binding protein,,Unknown/Hypothetical
SAOUHSC_00843,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00844,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_00845,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00846,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00847,ABC transporter ATP-binding protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00848,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00849,aminotransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00850,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00851,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00852,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00853,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00854,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00855,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00857,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00858,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00859,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00860,5-nucleotidase family protein,,Unknown/Hypothetical
SAOUHSC_00861,lipoyl synthase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00862,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00863,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00864,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00865,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00866,D-isomer specific 2-hydroxyacid dehydrogenase NAD binding domain-containing protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00867,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00868,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00869,D-alanine--poly(phosphoribitol) ligase subunit 1,Cell envelope,Cell envelope
SAOUHSC_00870,D-alanine transfer protein DltB,Cell envelope,Cell envelope
SAOUHSC_00871,D-alanine--poly(phosphoribitol) ligase subunit 2,Cell envelope,Cell envelope
SAOUHSC_00872,extramembranal protein,,Unknown/Hypothetical
SAOUHSC_00873,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers; Central intermediary metabolism",Cofactor biosynthesis
SAOUHSC_00874,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00875,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00876,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00877,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00878,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00879,cytosol aminopeptidase,,Unknown/Hypothetical
SAOUHSC_00880,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00881,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00882,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00883,monovalent cation/H+ antiporter subunit G,Transport and binding proteins,Transport
SAOUHSC_00884,monovalent cation/H+ antiporter subunit F,Mobile and extrachromosomal element functions,Mobile elements
SAOUHSC_00885,monovalent cation/H+ antiporter subunit E,Transport and binding proteins,Transport
SAOUHSC_00886,monovalent cation/H+ antiporter subunit D,Transport and binding proteins,Transport
SAOUHSC_00887,monovalent cation/H+ antiporter subunit C,Transport and binding proteins,Transport
SAOUHSC_00888,monovalent cation/H+ antiporter subunit B,Transport and binding proteins,Transport
SAOUHSC_00889,monovalent cation/H+ antiporter subunit A,Transport and binding proteins,Transport
SAOUHSC_00890,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00891,cyclophilin-type peptidyl-prolyl cis-trans isomerase,,Unknown/Hypothetical
SAOUHSC_00892,hypothetical protein,Transcription,Transcription
SAOUHSC_00893,FMN oxidoreductase,,Unknown/Hypothetical
SAOUHSC_00894,ornithine--oxo-acid transaminase,,Unknown/Hypothetical
SAOUHSC_00895,glutamate dehydrogenase,Cellular processes,Cellular processes
SAOUHSC_00896,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00897,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00898,argininosuccinate lyase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00899,argininosuccinate synthase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00900,glucose-6-phosphate isomerase,,Unknown/Hypothetical
SAOUHSC_00901,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00902,signal peptidase IA,Protein fate,Protein fate
SAOUHSC_00903,signal peptidase IB,Protein fate,Protein fate
SAOUHSC_00904,exonuclease RexB,DNA metabolism,DNA metabolism
SAOUHSC_00905,ATP-dependent nuclease subunit A,DNA metabolism,DNA metabolism
SAOUHSC_00906,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00907,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00908,coenzyme A disulfide reductase,Cellular processes,Cellular processes
SAOUHSC_00909,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00910,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00911,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00912,ATP-dependent Clp protease ATP-binding subunit ClpB,Protein fate,Virulence
SAOUHSC_00913,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_00914,2-isopropylmalate synthase,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00915,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00916,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00917,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00918,truncated MHC class II analog protein,,Unknown/Hypothetical
SAOUHSC_00919,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00920,3-oxoacyl-ACP synthase III,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_00921,3-oxoacyl- synthase,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_00922,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00923,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00924,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00925,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00926,oligopeptide ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_00927,oligopeptide ABC transporter substrate-binding protein,Transport and binding proteins,Transport
SAOUHSC_00928,oligopeptide ABC transporter substrate-binding protein,Transport and binding proteins,Transport
SAOUHSC_00929,oligopeptide ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_00930,oligopeptide ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_00931,oligopeptide ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_00932,oligopeptide ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_00933,tryptophanyl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_00934,transcriptional regulator Spx,Regulatory functions,Regulatory
SAOUHSC_00935,adaptor protein MecA,,Unknown/Hypothetical
SAOUHSC_00936,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00937,oligoendopeptidase F,Protein fate,Protein fate
SAOUHSC_00938,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00939,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00940,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00941,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00942,GTP pyrophosphokinase,Cellular processes,Cellular processes
SAOUHSC_00943,inorganic polyphosphate/ATP-NAD kinase,,Unknown/Hypothetical
SAOUHSC_00944,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00945,magnesium transporter,Transport and binding proteins,Transport
SAOUHSC_00946,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00947,enoyl-(acyl carrier protein) reductase,Fatty acid and phospholipid metabolism,Lipid metabolism
SAOUHSC_00948,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00949,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00950,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00951,hypothetical protein,Transcription,Transcription
SAOUHSC_00952,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00953,diacylglycerol glucosyltransferase,Cell envelope,Cell envelope
SAOUHSC_00954,UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase,Cell envelope,Cell envelope
SAOUHSC_00955,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00956,peptide chain release factor 3,Protein synthesis,Translation
SAOUHSC_00957,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00958,serine protease HtrA,Protein fate,Virulence
SAOUHSC_00959,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00960,hypothetical protein,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00961,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00962,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00963,lipoyltransferase and lipoate-protein ligase,Protein fate,Protein fate
SAOUHSC_00964,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00965,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_00966,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00967,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00968,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00969,hypothetical protein,Hypothetical proteins,Unknown/Hypothetical
SAOUHSC_00970,ABC transporter ATP-binding protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_00971,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00972,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00973,,Protein fate,Protein fate
SAOUHSC_00975,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00976,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00977,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00978,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00979,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00980,"1,4-dihydroxy-2-naphthoate octaprenyltransferase","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00981,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00982,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00983,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00984,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00985,"1,4-dihydroxy-2-naphthoyl-CoA synthase","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_00986,cysteine protease,,Virulence
SAOUHSC_00987,cysteine protease,,Virulence
SAOUHSC_00988,glutamyl endopeptidase,Protein fate,Protein fate
SAOUHSC_00989,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00991,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00992,MarR family transcriptional regulator,,Unknown/Hypothetical
SAOUHSC_00993,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00994,bifunctional autolysin,Transport and binding proteins,Transport
SAOUHSC_00995,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00996,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00997,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_00998,methicillin resistance protein FmtA,,Unknown/Hypothetical
SAOUHSC_00999,quinol oxidase subunit IV,Energy metabolism,Energy metabolism
SAOUHSC_01000,cytochrome c oxidase subunit III,Energy metabolism,Energy metabolism
SAOUHSC_01001,quinol oxidase subunit I,Energy metabolism,Energy metabolism
SAOUHSC_01002,quinol oxidase AA3 subunit II,Energy metabolism,Energy metabolism
SAOUHSC_01003,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01005,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01007,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",Unknown function,Unknown/Hypothetical
SAOUHSC_01008,5-(carboxyamino)imidazole ribonucleotide mutase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01009,5-(carboxyamino)imidazole ribonucleotide synthase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01010,phosphoribosylaminoimidazole-succinocarboxamide synthase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01011,phosphoribosylformylglycinamidine synthase PurS,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01012,phosphoribosylformylglycinamidine synthase I,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01013,phosphoribosylformylglycinamidine synthase II,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01014,amidophosphoribosyltransferase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01015,phosphoribosylaminoimidazole synthetase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01016,phosphoribosylglycinamide formyltransferase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01017,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01018,phosphoribosylamine--glycine ligase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_01019,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01021,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_01022,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01023,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01024,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01025,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01026,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01027,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01028,phosphocarrier protein HPr,Signal transduction,Signal transduction
SAOUHSC_01029,phosphoenolpyruvate-protein phosphotransferase,,Unknown/Hypothetical
SAOUHSC_01030,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01031,cytochrome d ubiquinol oxidase subunit I,,Unknown/Hypothetical
SAOUHSC_01032,cytochrome d ubiquinol oxidase subunit II,,Unknown/Hypothetical
SAOUHSC_01034,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A00992,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01035,hypothetical protein,Transcription,Transcription
SAOUHSC_01036,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01037,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01038,peptide deformylase,Protein fate,Protein fate
SAOUHSC_01039,hypothetical protein,Cellular processes; DNA metabolism,Cellular processes
SAOUHSC_01040,"pyruvate dehydrogenase complex, E1 component subunit alpha",Energy metabolism,Energy metabolism
SAOUHSC_01041,"pyruvate dehydrogenase complex, E1 component subunit beta","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01042,branched-chain alpha-keto acid dehydrogenase subunit E2,Energy metabolism,Energy metabolism
SAOUHSC_01043,dihydrolipoamide dehydrogenase,,Unknown/Hypothetical
SAOUHSC_01044,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01045,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_01046,ABC transporter,Transport and binding proteins,Transport
SAOUHSC_01047,spermidine/putrescine ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_01048,spermidine/putrescine ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_01049,spermidine/putrescine ABC transporter substrate-binding protein,Transport and binding proteins,Transport
SAOUHSC_01050,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01051,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_01053,manganese transport protein MntH,Transport and binding proteins,Transport
SAOUHSC_01054,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01055,inositol monophosphatase family protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_01055a,membrane protein,,Cell envelope
SAOUHSC_01058,GTP-binding protein TypA,Cellular processes; Protein synthesis; Regulatory functions,Cellular processes
SAOUHSC_01060,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01061,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01062,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01063,hypothetical protein,Cell envelope; Cellular processes,Cell envelope
SAOUHSC_01064,pyruvate carboxylase,Energy metabolism,Energy metabolism
SAOUHSC_01065,heme A synthase,,Unknown/Hypothetical
SAOUHSC_01066,protoheme IX farnesyltransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01067,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01068,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01069,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01070,hypothetical protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_01071,glycerophosphoryl diester phosphodiesterase,,Virulence
SAOUHSC_01072,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01073,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01074,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01075,phosphopantetheine adenylyltransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactor biosynthesis
SAOUHSC_01076,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01077,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A01041,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01078,,Protein synthesis,Translation
SAOUHSC_01079,neurofilament protein,,Unknown/Hypothetical
SAOUHSC_01081,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01082,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01084,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01085,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01086,iron compound ABC transporter permease,,Unknown/Hypothetical
SAOUHSC_01087,iron compound ABC transporter permease,,Unknown/Hypothetical
SAOUHSC_01088,hypothetical protein,Cell envelope; Protein fate,Cell envelope
SAOUHSC_01089,heme-degrading monooxygenase IsdG,Amino acid biosynthesis,Virulence
SAOUHSC_01090,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_01091,hypothetical protein,Protein synthesis,Translation
SAOUHSC_01092,phenylalanyl-tRNA synthetase subunit alpha,Protein synthesis,Translation
